"msg","X1","X2"
"msg1",0.0324862346463363,0.69194085852225
"msg1",0.0394920482026479,0.677489436905826
"msg1",0.0416296060991105,0.654030226700252
"msg1",0.0438267683185091,0.638065001399384
"msg1",0.0468689114781872,0.258300797649034
"msg1",0.0479669631512071,0.682763302896725
"msg1",0.0481195790287829,0.233654583287701
"msg1",0.0498138500635324,0.62289798488665
"msg1",0.0496950444726811,0.279729219143577
"msg1",0.0504386179259114,0.221311276884325
"msg1",0.0541556543837357,0.295401763224181
"msg1",0.0571616063666154,0.683251027442662
"msg1",0.0533672172808132,0.256124055415617
"msg1",0.0574491740787802,0.619363979848866
"msg1",0.0557073274036425,0.27717779177162
"msg1",0.0587674714104193,0.227253227329975
"msg1",0.0607506681856022,0.309382871536524
"msg1",0.0603875476493011,0.28975650713686
"msg1",0.0646977504823757,0.68281905961377
"msg1",0.0663278271918678,0.620739530856423
"msg1",0.0674078780177891,0.236285815491184
"msg1",0.0690279542566709,0.31920162940806
"msg1",0.0701080050825921,0.684603274559194
"msg1",0.0749682337992376,0.625590365239295
"msg1",0.0765111635505536,0.246833393306945
"msg1",0.0776683608640407,0.325825527392947
"msg1",0.0836086404066074,0.633184430100756
"msg1",0.0846886912325286,0.256151933774139
"msg1",0.0856015913353906,0.328830814441646
"msg1",0.0867407878017789,0.231742758186398
"msg1",0.0882724962458126,0.281013853904282
"msg1",0.0897160706722333,0.315194314501619
"msg1",0.0884688691232529,0.295510600335852
"msg1",0.0922490470139771,0.642685374685138
"msg1",0.090358958068615,0.266204869857263
"msg1",0.0949491740787802,0.227855399874055
"msg1",0.0934191020753918,0.286009655751469
"msg1",0.0973979100030671,0.710978893424824
"msg1",0.0944091486658196,0.314601700251889
"msg1",0.0941391359593393,0.300640218303946
"msg1",0.0980781448538755,0.685610831234257
"msg1",0.0987893547931667,0.736940246291632
"msg1",0.099269377382465,0.666872638539043
"msg1",0.0999294084427502,0.649216344808284
"msg1",0.100281925031766,0.755157824307305
"msg1",0.102665853006086,0.773964271510009
"msg1",0.103718717197945,0.635331236864475
"msg1",0.103796060991105,0.231895465994962
